name,port_id,lat,lon
VYSOTSKI,14928,60.616,28.566
UST-LUGA,8214872,59.683,28.434
LOKSA,81274125,59.5833,25.7
MUUGA,645,59.482,24.955
KUNDA,34679,59.5158,26.53313
PALDISKI,1274,59.33123,24.0829
PÄRNU,69319,58.3832999,24.549
HAAPSALU,90214,58.91666,23.501023
SILLAMÄE,93482,59.3992,27.733042
LIEBAJA,24788,56.499,20.9839129
AALBORG,909,57.046707,9.94002
BOHUS,8763428,57.824,12.016124
FALKENBERG,8241721,56.916,12.499
FREDRIKSHAMN,897421,57.433299,10.530099
GDANSK,785329,54.36023,18.64912
GDYNIA,12641287,54.5343,18.5459
GRENÅ,987352,56.416794,10.93124
GRUVÖN,32876239647,59.33213,13.1166069
GÄVLE,742938,60.683293,17.183295
GÖTEBORG,9469372,57.7169,11.88329
HALLSTAVIK,42199,60.0667,18.599
HALMSTAD,987124,56.66124,12.86654
HAMINA,879421,60.566475,27.183324
HANKO/HANGÖ,89742,59.81432,22.967483
HARAHOLMEN,984721,65.2330923,21.6350012
HARGSHAMN,10560147,60.166665,18.48354
HELSINGBORG,87213,56.0542,12.69432
HELSINGÖR,91321,56.0324,12.55769
HELSINKI/HELSINGFORS,12,60.142,24.9512
HOLMSUND,82,63.666554,20.33049
HUDIKSVALL,62,61.73324,17.116653
HUSUM,28,63.35443,19.15326
HÄRNÖSAND,19,62.63432,17.93243
IGGESUND,21,61.636617,17.1090012
INKOO,924,60.01659,23.916923
KALMAR,1249,56.66327,16.36777
KANTVIK,8412,60.08324,24.395
KARLSBORG,4559,65.912,23.282059
KARLSHAMN,839,56.1658,14.86701
KARLSKRONA,532,56.1685,15.59832
KARLSTAD,129,59.36709,13.54001
KASKINEN,423,62.38359,21.217
KEMI,591,65.7343,24.566669
KIEL,111,54.3164,10.08312
KLAIPEDA,9493,55.7176,21.13405
KOKKOLA,231,63.8495,23.1333
KOTKA,74,60.4667,26.951
KOVERHAR,104,59.88351,23.21656
KRAMFORS,321441,62.9345,17.7844
KRISTIINANKAUPUNKI,43024,62.2669,21.38349
KRISTINEHAMN,21414,59.31659,14.1123
KÖGE,55,55.45124,12.183431
KÖPENHAMN,4305,55.68332,12.5899
